CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12
2009-12,100.0,35.3,33.4,42.5,38.0,35.9,37.7,34.2,33.6,36.2,42.2,49.5,24.8
2010-01,100.0,20.6,31.1,30.5,26.4,30.0,25.8,23.0,27.9,31.9,30.3,9.9,
2010-02,100.0,23.8,22.5,29.1,24.6,20.1,19.3,28.6,25.4,27.5,7.2,,
2010-03,100.0,19.0,23.0,24.2,23.3,20.3,24.6,30.2,27.5,7.9,,,
2010-04,100.0,19.4,19.4,16.3,18.4,22.4,27.6,26.2,6.8,,,,
2010-05,100.0,15.7,16.9,17.3,17.7,25.6,21.3,7.9,,,,,
2010-06,100.0,17.4,18.9,20.4,23.0,28.5,6.7,,,,,,
2010-07,100.0,15.6,18.3,29.6,29.0,10.2,,,,,,,
2010-08,100.0,20.4,29.6,32.1,11.7,,,,,,,,
2010-09,100.0,22.6,23.5,9.9,,,,,,,,,
2010-10,100.0,25.7,9.3,,,,,,,,,,
2010-11,100.0,10.8,,,,,,,,,,,
2010-12,100.0,,,,,,,,,,,,
