CustomerID,Frequency,Monetary,LastPurchase,Recency,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Cluster
12346,11,372.86,2010-06-28 13:53:00,164,1,4,2,7,Average,1
12347,2,1323.32,2010-12-07 14:57:00,2,4,2,3,9,Potential,3
12348,1,222.16,2010-09-27 14:59:00,73,2,1,1,4,Lost,3
12349,3,2671.14,2010-10-28 08:23:00,42,3,3,4,10,Loyal,3
12351,1,300.93,2010-11-29 15:23:00,10,4,1,1,6,Potential,3
12352,2,343.8,2010-11-29 10:07:00,10,4,2,2,8,Potential,3
12353,1,317.76,2010-10-27 12:44:00,43,3,1,2,6,New,3
12355,1,488.21,2010-05-21 11:59:00,202,1,1,2,4,Lost,1
12356,3,3562.25,2010-11-24 12:24:00,15,4,3,4,11,Loyal,3
12357,2,12079.99,2010-11-16 14:29:00,23,3,2,4,9,Average,3
12358,3,2719.01,2010-11-29 10:56:00,10,4,3,4,11,Loyal,3
12359,6,2563.36,2010-10-10 11:16:00,60,2,4,4,10,AtRisk,3
12360,5,1590.83,2010-11-25 11:04:00,14,4,3,3,10,Loyal,3
12361,3,321.35,2010-09-03 15:19:00,97,2,3,2,7,Average,3
12362,1,130.0,2009-12-01 10:10:00,373,1,1,1,3,Lost,1
12366,1,500.24,2010-03-16 10:28:00,268,1,1,2,4,Lost,1
12368,1,917.7,2010-03-21 15:56:00,263,1,1,3,5,Lost,1
12369,3,1791.15,2010-10-22 13:13:00,48,3,3,4,10,Loyal,3
12370,3,774.62,2010-03-25 12:10:00,259,1,3,3,7,AtRisk,1
12371,3,2179.42,2010-10-26 13:37:00,44,3,3,4,10,Loyal,3
12373,2,763.0500000000001,2010-03-25 13:49:00,259,1,2,3,6,Lost,1
12374,3,2246.29,2010-10-14 13:31:00,56,2,3,4,9,AtRisk,3
12376,2,503.15,2010-11-15 12:15:00,24,3,2,2,7,New,3
12377,2,1798.2,2010-11-23 19:24:00,16,4,2,4,10,Potential,3
12378,1,1407.7,2010-05-26 14:07:00,197,1,1,3,5,Lost,1
12379,2,767.98,2010-10-13 14:46:00,57,2,2,3,7,Lost,3
12380,7,6951.49,2010-08-31 14:54:00,100,2,4,4,10,AtRisk,3
12385,1,1938.4,2010-11-25 15:14:00,14,4,1,4,9,Potential,3
12386,1,258.9,2010-12-08 09:53:00,1,4,1,1,6,Potential,3
12387,1,143.94,2010-10-20 16:27:00,50,3,1,1,5,New,3
12388,2,1120.45,2010-09-20 12:41:00,80,2,2,3,7,Lost,3
12389,3,1433.33,2010-11-02 11:52:00,37,3,3,3,9,Loyal,3
12391,5,2312.53,2010-09-01 12:38:00,99,2,3,4,9,AtRisk,3
12392,1,234.75000000000003,2010-04-27 14:04:00,226,1,1,1,3,Lost,1
12393,2,816.85,2010-11-22 16:10:00,17,4,2,3,9,Potential,3
12395,4,2048.64,2010-12-03 16:35:00,6,4,3,4,11,Loyal,3
12396,1,931.43,2010-02-03 13:22:00,309,1,1,3,5,Lost,1
12399,3,853.65,2010-11-19 08:53:00,20,3,3,3,9,Loyal,3
12400,1,205.25,2010-10-21 13:45:00,49,3,1,1,5,New,3
12402,5,1031.3,2010-11-12 09:50:00,27,3,3,3,9,Loyal,3
12403,1,591.6600000000001,2010-07-06 11:39:00,156,1,1,2,4,Lost,1
12404,1,63.24,2010-01-26 16:25:00,317,1,1,1,3,Lost,1
12406,3,2975.06,2010-11-05 11:42:00,34,3,3,4,10,Loyal,3
12408,3,1452.22,2010-11-19 13:21:00,20,3,3,3,9,Loyal,3
12409,4,12346.62,2010-10-15 10:24:00,55,2,3,4,9,AtRisk,3
12410,1,320.38,2010-07-25 13:26:00,137,1,1,2,4,Lost,3
12411,1,346.9,2010-10-26 09:25:00,44,3,1,2,6,New,3
12412,3,1370.05,2010-11-02 17:02:00,37,3,3,3,9,Loyal,3
12413,1,241.35,2010-11-02 13:26:00,37,3,1,1,5,New,3
12414,3,390.0,2010-09-02 13:47:00,98,2,3,2,7,Average,3
12415,7,19543.84,2010-11-29 15:07:00,10,4,4,4,12,Champions,0
12416,1,202.56,2010-02-21 10:19:00,291,1,1,1,3,Lost,1
12417,11,3167.81,2010-10-25 14:27:00,45,3,4,4,11,Loyal,3
12418,3,1352.62,2010-10-22 10:29:00,48,3,3,3,9,Loyal,3
12419,2,503.01,2010-11-19 10:04:00,20,3,2,2,7,New,3
12421,2,291.56,2010-10-20 14:28:00,50,3,2,1,6,New,3
12422,14,4428.24,2010-11-10 13:19:00,29,3,4,4,11,Loyal,0
12423,2,763.08,2010-11-17 11:33:00,22,3,2,3,8,Average,3
12424,2,1579.07,2010-10-13 10:29:00,57,2,2,3,7,Lost,3
12425,1,964.21,2010-09-17 14:10:00,83,2,1,3,6,Lost,3
12426,1,762.48,2010-02-15 08:41:00,297,1,1,3,5,Lost,1
12427,1,303.5,2010-12-03 10:44:00,6,4,1,1,6,Potential,3
12429,5,3735.51,2010-12-09 12:05:00,0,4,3,4,11,Loyal,3
12431,13,4370.52,2010-12-01 10:03:00,8,4,4,4,12,Champions,3
12433,5,7205.39,2010-12-08 16:49:00,1,4,3,4,11,Loyal,3
12434,1,297.29,2010-11-23 13:38:00,16,4,1,1,6,Potential,3
12435,4,6096.04,2010-11-08 10:07:00,31,3,3,4,10,Loyal,3
12437,21,7731.99,2010-11-09 14:46:00,30,3,4,4,11,Loyal,0
12439,2,1158.18,2010-01-26 12:11:00,317,1,2,3,6,Lost,1
12440,2,859.2,2010-09-03 13:11:00,97,2,2,3,7,Lost,3
12441,1,173.55,2010-12-08 10:45:00,1,4,1,1,6,Potential,3
12443,1,485.31,2009-12-07 15:42:00,367,1,1,2,4,Lost,1
12445,1,301.58000000000004,2010-10-15 12:28:00,55,2,1,1,4,Lost,3
12449,2,768.6,2010-10-25 12:21:00,45,3,2,3,8,Average,3
12450,3,490.32,2010-11-05 16:27:00,34,3,3,2,8,Average,3
12451,3,3634.36,2010-09-02 15:38:00,98,2,3,4,9,AtRisk,3
12454,4,13151.44,2010-11-09 10:09:00,30,3,3,4,10,Loyal,3
12455,4,3413.09,2010-09-20 14:39:00,80,2,3,4,9,AtRisk,3
12457,1,632.68,2010-09-30 17:59:00,70,2,1,2,5,Lost,3
12458,2,830.09,2010-10-08 11:36:00,62,2,2,3,7,Lost,3
12459,1,454.36,2010-04-13 14:53:00,240,1,1,2,4,Lost,1
12460,1,326.65,2010-09-09 13:51:00,91,2,1,2,5,Lost,3
12466,1,56.73,2010-01-26 16:26:00,317,1,1,1,3,Lost,1
12467,1,132.8,2010-10-12 15:41:00,58,2,1,1,4,Lost,3
12468,3,2941.2,2010-07-01 10:28:00,161,1,3,4,8,AtRisk,1
12469,2,3070.54,2010-07-05 12:40:00,157,1,2,4,7,Lost,1
12470,1,211.95,2010-01-19 11:01:00,324,1,1,1,3,Lost,1
12471,49,20139.74,2010-11-30 14:35:00,9,4,4,4,12,Champions,0
12472,13,11308.48,2010-12-05 14:19:00,4,4,4,4,12,Champions,0
12474,13,5048.66,2010-11-26 12:19:00,13,4,4,4,12,Champions,3
12475,1,426.26,2010-10-26 08:49:00,44,3,1,2,6,New,3
12476,12,7298.99,2010-11-08 09:35:00,31,3,4,4,11,Loyal,3
12477,3,7056.63,2010-11-05 09:35:00,34,3,3,4,10,Loyal,3
12480,3,2183.2200000000003,2010-11-05 15:08:00,34,3,3,4,10,Loyal,3
12481,6,6765.07,2010-12-09 10:13:00,0,4,4,4,12,Champions,3
12482,29,23691.4,2010-05-12 16:51:00,211,1,4,4,9,AtRisk,0
12483,11,2635.6,2010-11-26 12:35:00,13,4,4,4,12,Champions,3
12484,6,1828.43,2010-08-13 13:45:00,118,2,4,4,10,AtRisk,3
12485,1,708.1,2010-06-28 15:22:00,164,1,1,3,5,Lost,1
12486,1,1037.28,2010-10-04 12:14:00,66,2,1,3,6,Lost,3
12487,1,285.29999999999995,2009-12-09 11:36:00,365,1,1,1,3,Lost,1
12490,11,4405.71,2010-11-26 14:16:00,13,4,4,4,12,Champions,3
12492,1,452.0,2010-11-01 14:58:00,38,3,1,2,6,New,3
12494,3,626.77,2010-12-09 11:31:00,0,4,3,2,9,Average,3
12495,1,357.4,2010-03-09 10:53:00,275,1,1,2,4,Lost,1
12496,2,54.09,2010-03-29 14:06:00,255,1,2,1,4,Lost,1
12497,2,5205.400000000001,2010-11-04 12:31:00,35,3,2,4,9,Average,3
12499,1,393.72,2010-05-28 15:12:00,195,1,1,2,4,Lost,1
12500,8,1697.39,2010-09-30 18:45:00,70,2,4,3,9,AtRisk,3
12503,1,1126.0,2010-05-04 13:59:00,219,1,1,3,5,Lost,1
12504,2,297.0,2010-10-18 15:09:00,52,3,2,1,6,New,3
12505,1,955.2,2010-10-27 09:18:00,43,3,1,3,7,Average,3
12507,1,539.25,2010-05-04 09:23:00,219,1,1,2,4,Lost,1
12510,7,4195.45,2010-09-06 14:27:00,94,2,4,4,10,AtRisk,3
12511,1,3084.02,2010-10-07 10:39:00,63,2,1,4,7,Lost,3
12514,1,580.08,2010-03-08 12:18:00,276,1,1,2,4,Lost,1
12516,2,1336.56,2010-10-05 09:43:00,65,2,2,3,7,Lost,3
12519,1,385.7,2010-08-20 08:21:00,111,2,1,2,5,Lost,3
12523,12,2582.38,2010-11-30 12:31:00,9,4,4,4,12,Champions,3
12524,9,6640.39,2010-11-16 09:08:00,23,3,4,4,11,Loyal,3
12525,3,973.73,2010-07-29 16:08:00,133,2,3,3,8,AtRisk,3
12527,2,386.8,2010-08-02 12:23:00,129,2,2,2,6,Lost,3
12529,1,316.48,2010-06-29 13:10:00,163,1,1,2,4,Lost,1
12530,5,2096.98,2010-10-20 15:15:00,50,3,3,4,10,Loyal,3
12531,1,1807.98,2010-01-22 14:17:00,321,1,1,4,6,Lost,1
12533,2,1367.89,2010-03-22 10:56:00,262,1,2,3,6,Lost,1
12537,1,732.94,2010-10-27 08:36:00,43,3,1,3,7,Average,3
12538,1,276.5,2010-11-26 13:02:00,13,4,1,1,6,Potential,3
12539,3,5646.400000000001,2010-09-15 09:50:00,85,2,3,4,9,AtRisk,3
12540,16,8854.25,2010-11-26 10:43:00,13,4,4,4,12,Champions,0
12542,2,481.88,2010-08-12 19:12:00,119,2,2,2,6,Lost,3
12543,1,980.25,2010-09-17 15:51:00,83,2,1,3,6,Lost,3
12547,1,175.78,2010-07-27 13:55:00,135,2,1,1,4,Lost,3
12549,6,1575.68,2010-05-13 12:05:00,210,1,4,3,8,AtRisk,1
12553,2,916.47,2010-11-19 12:18:00,20,3,2,3,8,Average,3
12554,1,468.5,2010-09-17 12:29:00,83,2,1,2,5,Lost,3
12555,1,129.23,2010-01-26 16:26:00,317,1,1,1,3,Lost,1
12557,4,6725.18,2010-12-03 12:20:00,6,4,3,4,11,Loyal,3
12562,2,1185.18,2010-11-19 09:35:00,20,3,2,3,8,Average,3
12563,1,249.24,2010-10-27 09:52:00,43,3,1,1,5,New,3
12567,7,4308.58,2010-12-07 10:36:00,2,4,4,4,12,Champions,3
12568,1,70.0,2010-03-05 09:15:00,279,1,1,1,3,Lost,1
12570,1,77.52,2010-01-26 17:28:00,317,1,1,1,3,Lost,1
12573,4,556.87,2010-11-23 13:01:00,16,4,3,2,9,Average,3
