Customer ID,LifeStage
12346,Growing
12347,Active
12348,New
12349,VIP
12351,New
12352,Active
12353,New
12355,AtRisk
12356,VIP
12357,VIP
12358,VIP
12359,VIP
12360,VIP
12361,Growing
12362,AtRisk
12366,AtRisk
12368,AtRisk
12369,VIP
12370,AtRisk
12371,VIP
12373,AtRisk
12374,VIP
12376,Active
12377,VIP
12378,AtRisk
12379,Active
12380,Growing
12385,New
12386,New
12387,New
12388,Growing
12389,VIP
12391,Growing
12392,AtRisk
12393,Active
12395,VIP
12396,AtRisk
12399,Active
12400,New
12402,Active
12403,Normal
12404,AtRisk
12406,VIP
12408,VIP
12409,VIP
12410,Normal
12411,New
12412,Active
12413,New
12414,Growing
12415,VIP
12416,AtRisk
12417,VIP
12418,Active
12419,Active
12421,Active
12422,VIP
12423,Active
12424,VIP
12425,New
12426,AtRisk
12427,New
12429,VIP
12431,VIP
12433,VIP
12434,New
12435,VIP
12437,VIP
12439,AtRisk
12440,Growing
12441,New
12443,AtRisk
12445,New
12449,Active
12450,Active
12451,Growing
12454,VIP
12455,Growing
12457,New
12458,Growing
12459,AtRisk
12460,Normal
12466,AtRisk
12467,New
12468,Growing
12469,Growing
12470,AtRisk
12471,VIP
12472,VIP
12474,VIP
12475,New
12476,VIP
12477,VIP
12480,VIP
12481,VIP
12482,AtRisk
12483,VIP
12484,Growing
12485,Normal
12486,New
12487,AtRisk
12490,VIP
12492,New
12494,Active
12495,AtRisk
12496,AtRisk
12497,VIP
12499,AtRisk
12500,Growing
12503,AtRisk
12504,Active
12505,New
12507,AtRisk
12510,Growing
12511,New
12514,AtRisk
12516,Growing
12519,Normal
12523,VIP
12524,VIP
12525,Growing
12527,Growing
12529,Normal
12530,VIP
12531,AtRisk
12533,AtRisk
12537,New
12538,New
12539,Growing
12540,VIP
12542,Growing
12543,New
12547,Normal
12549,AtRisk
12553,Active
12554,New
12555,AtRisk
12557,VIP
12562,Active
12563,New
12567,VIP
12568,AtRisk
12570,AtRisk
12573,Active
12575,Growing
12576,Active
12577,Active
12578,VIP
12580,AtRisk
12582,VIP
12583,VIP
12586,VIP
12588,Active
12589,VIP
12591,Active
12592,Growing
12594,VIP
12595,Normal
12598,Growing
12599,Active
12600,VIP
12601,New
12605,Active
12606,AtRisk
12608,New
12609,VIP
12613,VIP
12615,VIP
12616,New
12619,AtRisk
12621,VIP
12623,VIP
12625,Growing
12629,VIP
12631,Growing
12632,Growing
12633,VIP
12634,Growing
12635,Active
12636,AtRisk
12637,VIP
12638,AtRisk
12639,Growing
12643,VIP
12644,Growing
12645,VIP
12647,VIP
12648,Growing
12649,VIP
12651,Active
12652,New
12653,Normal
12655,New
12656,VIP
12661,New
12662,VIP
12663,AtRisk
12664,Growing
12665,Active
12666,New
12668,VIP
12670,Active
12671,AtRisk
12672,AtRisk
12673,New
12675,AtRisk
12676,VIP
12677,AtRisk
12678,VIP
12681,VIP
12682,VIP
12683,VIP
12686,New
12687,Growing
12691,New
12692,AtRisk
12693,Active
12694,New
12695,Growing
12696,Growing
12698,AtRisk
12699,New
12701,Growing
12703,AtRisk
12705,VIP
12708,VIP
12709,VIP
12711,AtRisk
12712,VIP
12714,VIP
12717,AtRisk
12720,VIP
12721,Active
12724,Active
12725,VIP
12726,Active
12727,Growing
12728,New
12730,Normal
12731,Growing
12733,VIP
12734,Active
