Customer ID,FirstPurchase,LastPurchase,TotalOrders,TotalQuantity,TotalRevenue,AvgOrderValue,LifeDays
12346,2009-12-14 08:34:00,2010-06-28 13:53:00,11,70,372.86,33.89636363636364,196
12347,2010-10-31 14:20:00,2010-12-07 14:57:00,2,828,1323.32,661.66,37
12348,2010-09-27 14:59:00,2010-09-27 14:59:00,1,373,222.16,222.16,0
12349,2010-04-29 13:20:00,2010-10-28 08:23:00,3,993,2671.14,890.38,181
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,261,300.93,300.93,0
12352,2010-11-12 10:20:00,2010-11-29 10:07:00,2,188,343.8,171.9,16
12353,2010-10-27 12:44:00,2010-10-27 12:44:00,1,192,317.76,317.76,0
12355,2010-05-21 11:59:00,2010-05-21 11:59:00,1,303,488.21000000000004,488.21000000000004,0
12356,2010-10-11 09:42:00,2010-11-24 12:24:00,3,1826,3562.25,1187.4166666666667,44
12357,2010-11-16 10:05:00,2010-11-16 14:29:00,2,3879,12079.99,6039.995,0
12358,2009-12-08 07:59:00,2010-11-29 10:56:00,3,831,2719.01,906.3366666666667,356
12359,2009-12-05 13:32:00,2010-10-10 11:16:00,6,1130,2563.36,427.2266666666667,308
12360,2010-02-22 09:32:00,2010-11-25 11:04:00,5,1294,1590.83,318.166,276
12361,2010-01-26 14:37:00,2010-09-03 15:19:00,3,144,321.35,107.11666666666667,220
12362,2009-12-01 10:10:00,2009-12-01 10:10:00,1,1,130.0,130.0,0
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,296,500.24,500.24,0
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,330,917.6999999999999,917.6999999999999,0
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1241,1791.15,597.05,228
12370,2010-02-09 09:41:00,2010-03-25 12:10:00,3,252,774.62,258.20666666666665,44
12371,2010-03-04 18:23:00,2010-10-26 13:37:00,3,845,2179.42,726.4733333333334,235
12373,2010-02-04 12:08:00,2010-03-25 13:49:00,2,319,763.0500000000001,381.52500000000003,49
12374,2010-04-30 14:01:00,2010-10-14 13:31:00,3,1020,2246.29,748.7633333333333,166
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,2,240,503.15,251.575,28
12377,2010-04-29 15:34:00,2010-11-23 19:24:00,2,1161,1798.2,899.1,208
12378,2010-05-26 14:07:00,2010-05-26 14:07:00,1,787,1407.7,1407.7,0
12379,2010-06-23 12:49:00,2010-10-13 14:46:00,2,408,767.98,383.99,112
12380,2010-02-15 12:05:00,2010-08-31 14:54:00,7,2228,6951.49,993.0699999999999,197
12385,2010-11-25 15:14:00,2010-11-25 15:14:00,1,612,1938.4,1938.4,0
12386,2010-12-08 09:53:00,2010-12-08 09:53:00,1,214,258.9,258.9,0
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,1,134,143.94,143.94,0
12388,2010-05-06 12:54:00,2010-09-20 12:41:00,2,539,1120.45,560.225,136
12389,2010-02-22 10:15:00,2010-11-02 11:52:00,3,614,1433.33,477.77666666666664,253
12391,2010-02-15 10:12:00,2010-09-01 12:38:00,5,920,2312.53,462.506,198
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,1,73,234.75000000000003,234.75000000000003,0
12393,2010-10-07 13:49:00,2010-11-22 16:10:00,2,495,816.85,408.42499999999995,46
12395,2010-04-16 10:16:00,2010-12-03 16:35:00,4,1615,2048.64,512.1600000000001,231
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,1,591,931.43,931.43,0
12399,2010-03-05 08:45:00,2010-11-19 08:53:00,3,1020,853.65,284.55,259
12400,2010-10-21 13:45:00,2010-10-21 13:45:00,1,91,205.25,205.25,0
12402,2010-02-07 12:41:00,2010-11-12 09:50:00,5,490,1031.3,206.26,277
12403,2010-07-06 11:39:00,2010-07-06 11:39:00,1,164,591.6600000000001,591.6600000000001,0
12404,2010-01-26 16:25:00,2010-01-26 16:25:00,1,1,63.24,63.24,0
12406,2010-01-11 14:04:00,2010-11-05 11:42:00,3,1598,2975.06,991.6866666666668,297
12408,2010-07-29 13:27:00,2010-11-19 13:21:00,3,820,1452.22,484.07333333333327,112
12409,2010-05-23 15:21:00,2010-10-15 10:24:00,4,7592,12346.619999999999,3086.6549999999997,144
12410,2010-07-25 13:26:00,2010-07-25 13:26:00,1,130,320.38,320.38,0
12411,2010-10-26 09:25:00,2010-10-26 09:25:00,1,138,346.9,346.9,0
12412,2010-06-18 13:22:00,2010-11-02 17:02:00,3,1168,1370.05,456.68333333333334,137
12413,2010-11-02 13:26:00,2010-11-02 13:26:00,1,33,241.35,241.35,0
12414,2010-09-02 12:22:00,2010-09-02 13:47:00,3,195,390.0,130.0,0
12415,2010-06-30 08:30:00,2010-11-29 15:07:00,7,14073,19543.84,2791.977142857143,152
12416,2010-02-21 10:19:00,2010-02-21 10:19:00,1,132,202.56,202.56,0
12417,2009-12-06 10:30:00,2010-10-25 14:27:00,11,1338,3167.81,287.9827272727273,323
12418,2010-03-19 14:47:00,2010-10-22 10:29:00,3,681,1352.62,450.8733333333334,216
12419,2010-10-22 10:40:00,2010-11-19 10:04:00,2,231,503.01,251.505,27
12421,2010-07-22 13:57:00,2010-10-20 14:28:00,2,168,291.56,145.78,90
12422,2009-12-18 12:44:00,2010-11-10 13:19:00,14,2226,4428.24,316.30285714285714,327
12423,2010-08-31 09:31:00,2010-11-17 11:33:00,2,454,763.08,381.54,78
12424,2010-06-09 15:15:00,2010-10-13 10:29:00,2,1285,1579.07,789.535,125
12425,2010-09-17 14:10:00,2010-09-17 14:10:00,1,651,964.21,964.21,0
12426,2010-02-15 08:41:00,2010-02-15 08:41:00,1,326,762.48,762.48,0
12427,2010-12-03 10:44:00,2010-12-03 10:44:00,1,79,303.5,303.5,0
12429,2010-06-11 13:28:00,2010-12-09 12:05:00,5,1787,3735.51,747.1020000000001,180
12431,2010-01-15 09:04:00,2010-12-01 10:03:00,13,1811,4370.52,336.1938461538462,320
12433,2010-08-20 09:23:00,2010-12-08 16:49:00,5,6045,7205.39,1441.078,110
12434,2010-11-23 13:38:00,2010-11-23 13:38:00,1,138,297.29,297.29,0
12435,2009-12-02 13:58:00,2010-11-08 10:07:00,4,2903,6096.04,1524.01,340
12437,2009-12-02 16:24:00,2010-11-09 14:46:00,21,5078,7731.99,368.19,341
12439,2009-12-14 08:40:00,2010-01-26 12:11:00,2,484,1158.18,579.09,43
12440,2009-12-22 12:03:00,2010-09-03 13:11:00,2,331,859.2,429.6,255
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,121,173.55,173.55,0
12443,2009-12-07 15:42:00,2009-12-07 15:42:00,1,182,485.31,485.31,0
12445,2010-10-15 12:28:00,2010-10-15 12:28:00,1,144,301.58000000000004,301.58000000000004,0
12449,2010-09-27 09:37:00,2010-10-25 12:21:00,2,729,768.6,384.3,28
12450,2010-08-22 13:11:00,2010-11-05 16:27:00,3,314,490.32,163.44000000000003,75
12451,2010-06-28 12:58:00,2010-09-02 15:38:00,3,2784,3634.36,1211.4533333333334,66
12454,2010-10-14 17:33:00,2010-11-09 10:09:00,4,6697,13151.44,3287.86,25
12455,2009-12-18 12:33:00,2010-09-20 14:39:00,4,1213,3413.09,853.2725,276
12457,2010-09-30 17:59:00,2010-09-30 17:59:00,1,251,632.68,632.68,0
12458,2010-08-09 10:33:00,2010-10-08 11:36:00,2,480,830.09,415.045,60
12459,2010-04-13 14:53:00,2010-04-13 14:53:00,1,258,454.36,454.36,0
12460,2010-09-09 13:51:00,2010-09-09 13:51:00,1,170,326.65,326.65,0
12466,2010-01-26 16:26:00,2010-01-26 16:26:00,1,1,56.73,56.73,0
12467,2010-10-12 15:41:00,2010-10-12 15:41:00,1,129,132.8,132.8,0
12468,2010-01-26 10:09:00,2010-07-01 10:28:00,3,1835,2941.2,980.4,156
12469,2010-06-21 10:30:00,2010-07-05 12:40:00,2,2552,3070.54,1535.27,14
12470,2010-01-19 11:01:00,2010-01-19 11:01:00,1,95,211.95,211.95,0
12471,2009-12-07 10:41:00,2010-11-30 14:35:00,49,8670,20139.739999999998,411.01510204081626,358
12472,2009-12-14 10:49:00,2010-12-05 14:19:00,13,7202,11308.48,869.8830769230769,356
12474,2010-02-11 09:41:00,2010-11-26 12:19:00,13,3107,5048.66,388.35846153846154,288
12475,2010-10-26 08:49:00,2010-10-26 08:49:00,1,236,426.26,426.26,0
12476,2010-07-26 09:04:00,2010-11-08 09:35:00,12,3237,7298.99,608.2491666666666,105
12477,2010-03-26 14:01:00,2010-11-05 09:35:00,3,2466,7056.63,2352.21,223
12480,2010-07-20 13:21:00,2010-11-05 15:08:00,3,1245,2183.2200000000003,727.7400000000001,108
12481,2010-04-11 13:10:00,2010-12-09 10:13:00,6,3949,6765.07,1127.5116666666665,241
12482,2010-02-24 10:24:00,2010-05-12 16:51:00,29,27042,23691.4,816.944827586207,77
12483,2010-01-31 13:28:00,2010-11-26 12:35:00,11,1062,2635.6,239.60000000000002,298
12484,2010-01-27 16:41:00,2010-08-13 13:45:00,6,1080,1828.43,304.73833333333334,197
